Time,"Conductivity, mS","Temperature, C"
12:33:01,0.393,20.4
0,0,0
0,0,0
12:33:04,0.395,20.4
0,0,0
0,0,0
12:33:06,0.395,20.5
0,0,0
0,0,0
12:33:08,0.4,20.6
0,0,0
0,0,0
12:33:10,0.4,20.6
0,0,0
0,0,0
12:33:12,0.404,20.7
0,0,0
0,0,0
12:33:14,0.406,20.7
0,0,0
0,0,0
12:33:16,0.41,20.7
0,0,0
0,0,0
12:33:18,0.413,20.8
0,0,0
0,0,0
12:33:20,0.416,20.8
0,0,0
0,0,0
12:33:22,0.419,20.8
0,0,0
0,0,0
12:33:24,0.422,20.9
0,0,0
0,0,0
12:33:26,0.425,20.9
0,0,0
0,0,0
12:33:28,0.428,20.9
0,0,0
0,0,0
12:33:30,0.431,20.9
0,0,0
0,0,0
12:33:32,0.434,21
0,0,0
0,0,0
12:33:34,0.437,21
0,0,0
0,0,0
12:33:36,0.439,21
0,0,0
0,0,0
12:33:38,0.439,21
0,0,0
0,0,0
12:33:40,0.442,21.1
0,0,0
0,0,0
12:33:42,0.445,21.1
0,0,0
0,0,0
12:33:44,0.448,21.1
0,0,0
0,0,0
12:33:46,0.451,21.1
0,0,0
0,0,0
12:33:48,0.454,21.2
0,0,0
0,0,0
12:33:50,0.457,21.2
0,0,0
0,0,0
12:33:52,0.46,21.2
0,0,0
0,0,0
12:33:54,0.463,21.2
0,0,0
0,0,0
12:33:56,0.463,21.2
0,0,0
0,0,0
12:33:58,0.465,21.3
0,0,0
0,0,0
12:34:00,0.468,21.3
0,0,0
0,0,0
12:34:02,0.471,21.3
0,0,0
0,0,0
12:34:04,0.474,21.3
0,0,0
0,0,0
12:34:06,0.477,21.3
0,0,0
0,0,0
12:34:08,0.48,21.3
0,0,0
0,0,0
12:34:10,0.483,21.4
0,0,0
0,0,0
12:34:12,0.485,21.4
0,0,0
0,0,0
12:34:14,0.485,21.4
0,0,0
0,0,0
12:34:16,0.487,21.4
0,0,0
0,0,0
12:34:18,0.49,21.4
0,0,0
0,0,0
12:34:20,0.493,21.5
0,0,0
0,0,0
12:34:22,0.496,21.5
0,0,0
0,0,0
12:34:24,0.498,21.5
0,0,0
0,0,0
12:34:26,0.5,21.5
0,0,0
0,0,0
12:34:28,0.503,21.5
0,0,0
0,0,0
