Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1
12:44:30,2.86,2.94,23.5
12:44:31,1.48,1.52,23.75
12:44:32,0,0,24
12:44:33,0,0,24.25
12:44:34,1.48,1.51,24
12:44:35,0,0,24
12:44:36,0.74,0.75,24
12:44:37,1.48,1.51,24
12:44:38,0.74,0.76,23.75
12:44:39,0,0,23.5
12:44:40,0.74,0.76,23.75
12:44:41,0,0,24
12:44:42,0,0,24
12:44:43,0.74,0.75,24.25
12:44:44,0.74,0.76,23.75
12:44:45,0,0,24.25
12:44:46,0,0,24
12:44:47,0,0,23.75
12:44:48,0,0,24.25
12:44:49,0,0,24.25
12:44:50,1.48,1.51,24
12:44:51,0.74,0.76,23.5
12:44:51,0.74,0.76,23.5
12:44:52,0.74,0.76,23.75
12:44:53,0.74,0.76,23.75
12:44:54,0.74,0.75,24
12:44:55,0.74,0.75,24
12:44:56,0,0,24
12:44:57,0,0,24
12:44:58,0,0,23.75
12:44:59,0.74,0.75,24
12:45:00,0,0,23.75
12:45:01,0,0,23.75
12:45:02,0,0,24
12:45:03,0,0,23.75
12:45:04,0,0,23.75
12:45:05,0,0,23.25
12:45:06,0,0,24
12:45:07,0,0,24
12:45:08,0,0,23.5
12:45:09,0,0,24
12:45:11,0,0,24.25
12:45:11,0,0,23.5
12:45:12,0,0,24.25
12:45:13,0,0,23.5
12:45:14,0,0,23.75
12:45:15,0,0,23.5
12:45:16,0,0,23.75
12:45:17,0,0,24
12:45:18,0,0,23.75
12:45:19,0,0,23.75
12:45:20,0,0,23.75
12:45:21,0,0,23.25
12:45:22,0,0,24
12:45:23,0,0,24
12:45:24,0,0,23.75
12:45:25,0,0,23.75
12:45:26,0,0,23.75
12:45:27,0,0,24
12:45:28,0,0,24
12:45:29,0,0,23.5
12:45:30,0,0,24
12:45:31,0,0,23.5
12:45:32,0,0,24
12:45:33,0,0,23.5
12:45:34,0,0,24
12:45:34,0,0,23.5
12:45:35,0,0,24
12:45:36,0,0,24.25
12:45:37,0,0,24
12:45:38,0,0,23.75
12:45:39,0,0,24
12:45:40,0,0,23.75
12:45:41,0,0,23.25
12:45:42,0,0,24
12:45:43,0,0,23.75
12:45:44,0,0,23
12:45:45,0,0,23.5
12:45:46,0,0,23.75
12:45:47,0,0,23.75
12:45:48,0,0,23.75
12:45:49,0,0,23.75
12:45:50,0,0,24.25
12:45:51,0,0,24
12:45:52,0,0,23.75
12:45:53,0,0,24.25
12:45:54,0,0,23.25
12:45:55,0,0,24
12:45:56,0,0,23.5
12:45:57,0,0,24
12:45:58,0,0,24
12:45:59,0,0,23.75
12:46:00,0,0,23.5
12:46:01,0,0,24
12:46:02,0,0,23.5
12:46:03,0,0,23.75
12:46:04,0,0,24
12:46:05,0,0,23.75
12:46:06,0,0,24
12:46:07,0,0,23.75
12:46:08,0,0,24.25
12:46:09,0,0,23.5
12:46:10,0,0,23.75
12:46:11,0,0,23.5
12:46:12,0,0,24
12:46:13,0,0,24.75
12:46:14,0,0,24.5
12:46:15,0,0,23.5
12:46:16,0,0,24
12:46:17,0,0,23.5
12:46:18,0,0,24.25
12:46:18,0,0,24
12:46:19,0,0,24
12:46:20,0,0,24.25
12:46:21,0,0,24
12:46:22,0,0,24.25
12:46:23,0,0,23.75
12:46:24,0,0,24.25
12:46:25,0,0,24
12:46:26,0,0,24
12:46:27,0,0,24
12:46:28,0,0,24
12:46:29,0,0,23.75
12:46:30,0,0,24
12:46:31,0,0,24
12:46:32,0,0,23.5
12:46:33,0,0,24.25
12:46:34,0,0,24
12:46:35,0,0,24.5
12:46:36,0,0,24.5
12:46:37,0,0,24.5
12:46:38,0,0,24.5
12:46:39,0,0,24.5
12:46:40,0,0,24.25
12:46:41,2.21,2.25,24
12:46:42,0,0,24.25
12:46:43,0,0,24.25
12:46:44,0,0,24.25
12:46:45,0,0,24.25
12:46:46,0,0,24.75
12:46:47,0,0,24.5
12:46:48,0,0,24.75
12:46:49,0,0,24.5
12:46:50,0,0,24.25
12:46:51,0,0,24.25
12:46:52,0,0,24.5
12:46:53,0,0,24
12:46:54,0,0,24.5
12:46:55,0,0,24
12:46:56,0,0,23.75
12:46:57,0,0,24.5
12:46:58,0,0,24.5
12:46:59,0,0,24.25
12:47:00,0,0,24.25
12:47:01,0,0,24.5
12:47:02,0,0,24
12:47:02,0,0,24.5
12:47:03,0,0,24.25
12:47:04,0,0,24.25
12:47:05,0,0,24.5
12:47:06,0,0,24
12:47:07,62.99,64.21,24
12:47:08,100.9,103.35,23.75
12:47:09,130.1,133.27,23.75
12:47:10,129.4,131.27,24.25
12:47:11,129.4,132.55,23.75
12:47:12,139.6,141.62,24.25
12:47:13,140.3,141.65,24.5
12:47:14,145.6,148.42,24
12:47:15,150,152.17,24.25
12:47:16,156.8,160.61,23.75
12:47:17,170.6,173.07,24.25
12:47:18,187.4,191.03,24
12:47:19,196.4,199.24,24.25
12:47:20,204.6,207.56,24.25
12:47:21,209.4,212.43,24.25
12:47:22,214.3,218.45,24
12:47:23,225.8,230.17,24
12:47:24,232.1,237.75,23.75
12:47:25,244.1,248.83,24
12:47:26,250.5,254.12,24.25
12:47:27,261.4,265.18,24.25
12:47:28,268.4,274.93,23.75
12:47:29,272.5,275.11,24.5
12:47:30,284,285.36,24.75
12:47:31,291,295.21,24.25
12:47:32,299.5,306.79,23.75
12:47:33,307.3,310.25,24.5
12:47:34,311.3,315.8,24.25
12:47:35,320.6,323.67,24.5
12:47:36,326.6,331.32,24.25
12:47:37,334.1,337.3,24.5
12:47:38,339.6,342.86,24.5
12:47:39,345.7,349.02,24.5
12:47:40,352.9,358,24.25
12:47:41,359.3,364.49,24.25
12:47:42,364.7,369.97,24.25
12:47:43,370.6,374.15,24.5
12:47:44,377.1,382.55,24.25
12:47:45,384.8,388.49,24.5
12:47:46,388.2,395.72,24
12:47:46,395.5,403.16,24
12:47:47,398.7,402.52,24.5
12:47:48,407.6,411.51,24.5
12:47:49,411.4,411.4,25
12:47:50,416.7,418.69,24.75
12:47:51,421.1,423.11,24.75
12:47:52,426.8,428.84,24.75
12:47:53,431.8,435.94,24.5
12:47:54,438.5,440.59,24.75
12:47:55,441.9,448.29,24.25
12:47:56,448.2,454.68,24.25
12:47:58,450.4,454.72,24.5
12:47:58,458.2,464.82,24.25
12:47:59,463.1,467.54,24.5
12:48:00,465.2,467.42,24.75
12:48:01,473,477.54,24.5
12:48:02,472.9,475.16,24.75
12:48:03,477.4,479.68,24.75
12:48:04,483.8,486.11,24.75
12:48:05,487.5,489.83,24.75
12:48:06,490.6,490.6,25
12:48:07,496.5,501.26,24.5
12:48:08,499.1,499.1,25
12:48:09,502.9,505.3,24.75
12:48:10,508.4,510.83,24.75
12:48:11,514.5,519.43,24.5
12:48:12,515.6,518.06,24.75
12:48:13,518.9,523.88,24.5
12:48:14,523.3,525.8,24.75
12:48:15,526.7,524.21,25.25
12:48:16,531.8,531.8,25
12:48:17,534,531.48,25.25
12:48:18,539.2,544.37,24.5
12:48:19,542.3,539.74,25.25
12:48:20,546.9,549.51,24.75
12:48:21,549,551.62,24.75
12:48:22,554.5,551.88,25.25
12:48:23,556.8,559.46,24.75
12:48:24,561.1,561.1,25
12:48:25,563.8,561.13,25.25
12:48:26,567.1,567.1,25
12:48:27,571.5,571.5,25
12:48:28,573.6,579.1,24.5
12:48:29,578.3,578.3,25
12:48:30,580.4,580.4,25
12:48:30,583.5,586.28,24.75
12:48:31,588.3,591.11,24.75
12:48:32,589.1,591.91,24.75
12:48:33,595.6,595.6,25
12:48:34,597.9,597.9,25
12:48:35,601.7,604.57,24.75
12:48:36,604.3,613.04,24.25
12:48:38,607.3,607.3,25
12:48:38,612.5,618.37,24.5
12:48:39,614.9,617.83,24.75
12:48:40,617.8,620.75,24.75
12:48:41,622.1,625.07,24.75
12:48:42,625.2,631.2,24.5
12:48:43,629.2,632.2,24.75
12:48:44,630.6,636.65,24.5
12:48:45,629.1,629.1,25
12:48:46,632.2,632.2,25
12:48:47,635.2,638.23,24.75
12:48:48,638.4,641.45,24.75
12:48:49,640.9,640.9,25
12:48:50,643.9,646.97,24.75
12:48:51,646.6,646.6,25
12:48:52,649,652.1,24.75
12:48:53,651.7,654.81,24.75
12:48:54,655.6,655.6,25
12:48:55,657.2,657.2,25
12:48:56,658.2,661.34,24.75
12:48:57,662.7,662.7,25
12:48:58,666.8,669.98,24.75
12:48:59,670.9,674.1,24.75
12:49:00,669.5,672.7,24.75
12:49:01,677.1,677.1,25
12:49:02,679.2,679.2,25
12:49:03,681.4,684.65,24.75
12:49:04,683.2,686.46,24.75
12:49:05,686.1,689.37,24.75
12:49:06,689.2,695.81,24.5
12:49:07,680.9,680.9,25
12:49:08,694.3,697.61,24.75
12:49:09,697.3,697.3,25
12:49:10,700.3,700.3,25
12:49:11,702.4,699.08,25.25
12:49:12,706,706,25
12:49:13,707.2,707.2,25
12:49:14,710,710,25
12:49:14,712.5,712.5,25
12:49:15,714.3,717.71,24.75
12:49:16,718.6,718.6,25
12:49:17,719.6,723.03,24.75
12:49:18,722.9,729.83,24.5
12:49:19,724.2,720.78,25.25
12:49:20,726.2,726.2,25
12:49:21,729.2,729.2,25
12:49:22,731.7,731.7,25
12:49:23,734.6,738.11,24.75
12:49:24,736,732.52,25.25
12:49:25,738.4,734.91,25.25
12:49:26,741.8,745.34,24.75
12:49:27,744,740.48,25.25
12:49:28,747.6,747.6,25
12:49:29,748.3,748.3,25
12:49:30,749.9,753.48,24.75
12:49:31,752.1,752.1,25
12:49:32,755.3,748.19,25.5
12:49:33,756.7,756.7,25
12:49:34,759.7,756.11,25.25
12:49:35,761.8,761.8,25
12:49:36,764.9,768.55,24.75
12:49:37,767.2,770.86,24.75
12:49:38,768.6,764.97,25.25
12:49:39,770.7,774.38,24.75
12:49:40,773.4,769.74,25.25
12:49:41,773.8,773.8,25
12:49:42,777.7,777.7,25
12:49:43,778.5,774.82,25.25
12:49:44,780.3,772.96,25.5
12:49:45,783.5,787.24,24.75
12:49:46,786.1,782.38,25.25
12:49:47,786.6,782.88,25.25
12:49:48,790.1,782.66,25.5
12:49:49,791.8,791.8,25
12:49:50,793.2,793.2,25
12:49:51,795.3,791.54,25.25
12:49:52,798.4,794.63,25.25
12:49:53,801.2,797.41,25.25
12:49:54,801.5,793.96,25.5
12:49:55,803.5,803.5,25
12:49:56,806.2,802.39,25.25
12:49:57,808.5,804.68,25.25
12:49:58,809.5,809.5,25
12:49:58,811.4,803.76,25.5
12:49:59,813.3,813.3,25
12:50:00,816.2,812.34,25.25
12:50:01,817.4,817.4,25
12:50:02,820.3,820.3,25
12:50:04,821.2,813.47,25.5
12:50:04,824,820.1,25.25
12:50:05,825.3,829.24,24.75
12:50:06,826,818.23,25.5
12:50:07,830.5,822.68,25.5
12:50:08,832.9,828.96,25.25
12:50:09,833.9,829.96,25.25
12:50:10,835,831.05,25.25
12:50:11,837.5,829.62,25.5
12:50:12,839.9,832,25.5
12:50:13,839.9,835.93,25.25
12:50:14,843.9,839.91,25.25
12:50:15,843.2,843.2,25
12:50:16,845,837.05,25.5
12:50:17,847.3,839.33,25.5
12:50:18,850.9,842.89,25.5
12:50:19,851.2,847.18,25.25
12:50:20,854.5,850.46,25.25
12:50:21,856.8,852.75,25.25
12:50:22,858.3,850.22,25.5
12:50:23,861.6,861.6,25
12:50:24,862.7,854.58,25.5
12:50:25,863.9,868.02,24.75
12:50:26,866.3,862.2,25.25
12:50:27,866.9,858.74,25.5
12:50:28,869.5,865.39,25.25
12:50:29,872.8,876.97,24.75
12:50:30,871.9,871.9,25
12:50:31,875.4,875.4,25
12:50:32,875.5,875.5,25
12:50:33,876.4,872.26,25.25
12:50:34,880.5,876.34,25.25
12:50:35,880.4,880.4,25
12:50:36,882.5,886.71,24.75
12:50:37,883.9,879.72,25.25
12:50:38,887.7,883.5,25.25
12:50:39,884.8,876.47,25.5
12:50:40,890.7,882.32,25.5
12:50:41,893.1,888.88,25.25
12:50:42,891.7,891.7,25
12:50:42,893.4,889.18,25.25
12:50:43,896.7,888.26,25.5
12:50:44,896.4,887.96,25.5
12:50:45,900,895.75,25.25
12:50:46,900.4,896.14,25.25
12:50:47,900.5,892.03,25.5
12:50:48,903.3,890.61,25.75
12:50:49,902.7,902.7,25
12:50:50,904.8,900.52,25.25
12:50:51,908.7,900.15,25.5
12:50:52,910.6,902.03,25.5
12:50:53,910.1,897.31,25.75
12:50:54,910.3,910.3,25
12:50:55,913.1,904.51,25.5
12:50:56,915.5,911.17,25.25
12:50:57,916.3,907.68,25.5
12:50:58,917.6,908.96,25.5
12:50:59,921.5,912.83,25.5
12:51:00,920.9,912.23,25.5
12:51:01,923.6,914.91,25.5
