Time,"Conductivity, mS","Temperature, C"
13:50:21,9.1,22.1
0,0,0
0,0,0
13:50:24,8.7,22
0,0,0
0,0,0
13:50:26,8.7,22
0,0,0
0,0,0
13:50:28,8.7,21.9
0,0,0
0,0,0
13:50:30,8.7,21.9
0,0,0
0,0,0
13:50:32,8.6,21.8
0,0,0
0,0,0
13:50:34,8.4,21.8
0,0,0
0,0,0
13:50:36,8.2,21.8
0,0,0
0,0,0
13:50:38,8,21.8
0,0,0
0,0,0
13:50:40,7.8,21.8
0,0,0
0,0,0
13:50:42,7.7,21.8
0,0,0
0,0,0
13:50:44,7.5,21.8
0,0,0
0,0,0
13:50:46,7.4,21.7
0,0,0
0,0,0
13:50:48,7.2,21.7
0,0,0
0,0,0
13:50:50,7.1,21.7
0,0,0
0,0,0
13:50:52,7.1,21.7
0,0,0
0,0,0
13:50:54,7,21.7
0,0,0
0,0,0
13:50:56,6.9,21.7
0,0,0
0,0,0
13:50:58,6.9,21.7
0,0,0
0,0,0
13:51:00,6.9,21.7
0,0,0
0,0,0
13:51:02,6.8,21.7
0,0,0
0,0,0
13:51:04,6.8,21.7
0,0,0
0,0,0
13:51:06,6.7,21.7
0,0,0
0,0,0
13:51:08,6.7,21.7
0,0,0
0,0,0
13:51:10,6.7,21.7
0,0,0
0,0,0
13:51:12,6.7,21.7
0,0,0
0,0,0
13:51:14,6.6,21.7
0,0,0
0,0,0
13:51:16,6.6,21.7
0,0,0
0,0,0
13:51:18,6.6,21.7
0,0,0
0,0,0
13:51:20,6.6,21.7
0,0,0
0,0,0
13:51:22,6.6,21.7
0,0,0
0,0,0
13:51:24,6.6,21.7
0,0,0
0,0,0
13:51:26,6.6,21.7
0,0,0
0,0,0
13:51:28,6.5,21.7
0,0,0
0,0,0
13:51:30,6.5,21.7
0,0,0
0,0,0
13:51:32,6.5,21.7
0,0,0
0,0,0
13:51:34,6.5,21.7
0,0,0
0,0,0
13:51:36,6.4,21.7
0,0,0
0,0,0
13:51:38,6.4,21.7
0,0,0
0,0,0
13:51:40,6.4,21.7
0,0,0
0,0,0
13:51:42,6.4,21.7
0,0,0
0,0,0
13:51:44,6.4,21.7
0,0,0
0,0,0
13:51:46,6.4,21.7
0,0,0
0,0,0
13:51:48,6.4,21.7
0,0,0
0,0,0
13:51:50,6.3,21.7
0,0,0
0,0,0
13:51:52,6.3,21.7
0,0,0
0,0,0
13:51:54,6.3,21.7
0,0,0
0,0,0
13:51:56,6.3,21.7
0,0,0
0,0,0
13:51:58,6.2,21.7
0,0,0
0,0,0
13:52:00,6.2,21.7
0,0,0
0,0,0
13:52:02,6.1,21.7
0,0,0
0,0,0
13:52:04,6.1,21.7
0,0,0
0,0,0
13:52:06,6.1,21.7
0,0,0
0,0,0
13:52:08,6.1,21.7
0,0,0
0,0,0
13:52:10,6,21.7
0,0,0
0,0,0
13:52:12,6,21.7
0,0,0
0,0,0
13:52:14,6,21.7
0,0,0
0,0,0
13:52:16,5.9,21.7
0,0,0
0,0,0
13:52:18,5.9,21.7
0,0,0
0,0,0
13:52:20,5.8,21.7
0,0,0
0,0,0
13:52:22,5.8,21.7
0,0,0
0,0,0
13:52:24,5.8,21.7
0,0,0
0,0,0
13:52:26,5.8,21.7
0,0,0
0,0,0
13:52:28,5.7,21.7
0,0,0
0,0,0
13:52:30,5.7,21.7
0,0,0
0,0,0
13:52:32,5.7,21.7
0,0,0
0,0,0
13:52:34,5.6,21.7
0,0,0
0,0,0
13:52:36,5.6,21.7
0,0,0
0,0,0
13:52:38,5.6,21.7
0,0,0
0,0,0
13:52:40,5.5,21.7
0,0,0
0,0,0
13:52:42,5.5,21.7
0,0,0
0,0,0
13:52:44,5.5,21.7
0,0,0
0,0,0
13:52:46,5.4,21.7
0,0,0
0,0,0
13:52:48,5.4,21.7
0,0,0
0,0,0
13:52:50,5.4,21.7
0,0,0
0,0,0
13:52:52,5.4,21.7
0,0,0
0,0,0
13:52:54,5.3,21.7
0,0,0
0,0,0
13:52:56,5.3,21.7
0,0,0
0,0,0
13:52:58,5.3,21.7
0,0,0
0,0,0
13:53:00,5.2,21.7
0,0,0
0,0,0
13:53:02,5.2,21.7
0,0,0
0,0,0
13:53:04,5.2,21.7
0,0,0
0,0,0
13:53:06,5.1,21.7
0,0,0
0,0,0
13:53:08,5.1,21.7
0,0,0
0,0,0
13:53:10,5.1,21.7
0,0,0
0,0,0
13:53:12,5.1,21.7
0,0,0
0,0,0
13:53:14,5,21.7
0,0,0
0,0,0
13:53:16,4.9,21.7
0,0,0
0,0,0
13:53:18,4.9,21.7
0,0,0
0,0,0
13:53:20,4.8,21.7
0,0,0
0,0,0
13:53:22,4.8,21.7
0,0,0
0,0,0
13:53:24,4.7,21.7
0,0,0
0,0,0
13:53:26,4.7,21.7
0,0,0
0,0,0
13:53:28,4.7,21.7
0,0,0
0,0,0
13:53:30,4.7,21.7
0,0,0
0,0,0
13:53:32,4.6,21.7
0,0,0
0,0,0
13:53:34,4.6,21.7
0,0,0
0,0,0
13:53:36,4.6,21.7
0,0,0
0,0,0
13:53:38,4.6,21.7
0,0,0
0,0,0
13:53:40,4.5,21.7
0,0,0
0,0,0
13:53:42,4.5,21.7
0,0,0
0,0,0
13:53:44,4.5,21.7
0,0,0
0,0,0
13:53:46,4.5,21.7
0,0,0
0,0,0
13:53:48,4.5,21.7
0,0,0
0,0,0
13:53:50,4.4,21.7
0,0,0
0,0,0
13:53:52,4.4,21.7
0,0,0
0,0,0
13:53:54,4.4,21.7
0,0,0
0,0,0
13:53:56,4.4,21.7
0,0,0
0,0,0
13:53:58,4.4,21.7
0,0,0
0,0,0
13:54:00,4.4,21.7
0,0,0
0,0,0
13:54:02,4.4,21.7
0,0,0
0,0,0
13:54:04,4.4,21.7
