Time,"Conductivity, mS","Temperature, C"
14:13:25,0.323,23.6
0,0,0
0,0,0
14:13:27,0.325,23.6
0,0,0
0,0,0
14:13:29,0.328,23.6
0,0,0
0,0,0
14:13:31,0.33,23.6
0,0,0
0,0,0
14:13:33,0.33,23.6
0,0,0
0,0,0
14:13:35,0.333,23.6
0,0,0
0,0,0
14:13:37,0.336,23.6
0,0,0
0,0,0
14:13:39,0.339,23.7
0,0,0
0,0,0
14:13:41,0.342,23.7
0,0,0
0,0,0
14:13:43,0.344,23.7
0,0,0
0,0,0
14:13:45,0.347,23.7
0,0,0
0,0,0
14:13:47,0.349,23.7
0,0,0
0,0,0
14:13:49,0.351,23.7
0,0,0
0,0,0
14:13:51,0.354,23.7
0,0,0
0,0,0
14:13:53,0.357,23.7
0,0,0
0,0,0
14:13:55,0.357,23.8
0,0,0
0,0,0
14:13:57,0.359,23.8
0,0,0
0,0,0
14:13:59,0.362,23.8
0,0,0
0,0,0
14:14:01,0.364,23.8
0,0,0
0,0,0
14:14:03,0.366,23.8
0,0,0
0,0,0
14:14:05,0.369,23.8
0,0,0
0,0,0
14:14:07,0.371,23.9
0,0,0
0,0,0
14:14:09,0.373,23.9
0,0,0
0,0,0
14:14:11,0.375,23.9
0,0,0
0,0,0
14:14:13,0.375,23.9
0,0,0
0,0,0
14:14:15,0.377,23.9
0,0,0
0,0,0
14:14:17,0.379,23.9
0,0,0
0,0,0
14:14:19,0.382,23.9
0,0,0
0,0,0
14:14:21,0.384,23.9
0,0,0
0,0,0
14:14:23,0.387,24
0,0,0
0,0,0
14:14:25,0.389,24
0,0,0
0,0,0
14:14:27,0.391,24
0,0,0
0,0,0
14:14:29,0.393,24
0,0,0
0,0,0
14:14:31,0.393,24
0,0,0
0,0,0
14:14:33,0.395,24
0,0,0
0,0,0
14:14:35,0.397,24
0,0,0
0,0,0
14:14:37,0.4,24
0,0,0
0,0,0
14:14:39,0.402,24.1
0,0,0
0,0,0
14:14:41,0.404,24.1
0,0,0
0,0,0
14:14:43,0.407,24.1
0,0,0
0,0,0
14:14:45,0.409,24.1
0,0,0
0,0,0
14:14:47,0.411,24.1
0,0,0
0,0,0
14:14:49,0.413,24.1
0,0,0
0,0,0
14:14:51,0.415,24.1
0,0,0
0,0,0
14:14:53,0.417,24.1
0,0,0
0,0,0
14:14:55,0.417,24.2
0,0,0
0,0,0
14:14:57,0.419,24.2
0,0,0
0,0,0
14:14:59,0.421,24.2
0,0,0
0,0,0
14:15:01,0.423,24.2
0,0,0
0,0,0
14:15:03,0.425,24.2
0,0,0
0,0,0
14:15:05,0.429,24.2
0,0,0
0,0,0
14:15:07,0.432,24.2
0,0,0
0,0,0
14:15:09,0.434,24.2
0,0,0
0,0,0
14:15:11,0.434,24.3
0,0,0
0,0,0
14:15:13,0.436,24.3
0,0,0
0,0,0
14:15:15,0.438,24.3
0,0,0
0,0,0
14:15:17,0.44,24.3
0,0,0
0,0,0
14:15:19,0.442,24.3
0,0,0
0,0,0
14:15:21,0.444,24.3
0,0,0
0,0,0
14:15:23,0.446,24.3
0,0,0
0,0,0
14:15:25,0.448,24.3
0,0,0
0,0,0
14:15:27,0.45,24.3
0,0,0
0,0,0
14:15:29,0.45,24.4
0,0,0
0,0,0
14:15:31,0.452,24.4
0,0,0
0,0,0
14:15:33,0.453,24.4
0,0,0
0,0,0
14:15:35,0.455,24.4
0,0,0
0,0,0
14:15:37,0.457,24.4
0,0,0
0,0,0
14:15:39,0.459,24.4
0,0,0
0,0,0
14:15:41,0.461,24.4
0,0,0
0,0,0
14:15:43,0.463,24.4
0,0,0
0,0,0
14:15:45,0.464,24.5
0,0,0
0,0,0
14:15:47,0.466,24.5
0,0,0
0,0,0
14:15:49,0.468,24.5
0,0,0
0,0,0
14:15:51,0.469,24.5
0,0,0
0,0,0
14:15:53,0.469,24.5
0,0,0
0,0,0
14:15:55,0.471,24.5
0,0,0
0,0,0
14:15:57,0.472,24.5
0,0,0
0,0,0
14:15:59,0.474,24.5
0,0,0
0,0,0
14:16:01,0.476,24.5
0,0,0
0,0,0
14:16:03,0.477,24.5
0,0,0
0,0,0
14:16:05,0.479,24.6
0,0,0
0,0,0
14:16:07,0.481,24.6
0,0,0
0,0,0
14:16:09,0.482,24.6
0,0,0
0,0,0
14:16:11,0.483,24.6
0,0,0
0,0,0
14:16:13,0.485,24.6
0,0,0
0,0,0
14:16:15,0.485,24.6
0,0,0
0,0,0
14:16:17,0.487,24.6
0,0,0
0,0,0
14:16:19,0.489,24.6
0,0,0
0,0,0
14:16:21,0.491,24.6
0,0,0
0,0,0
14:16:23,0.493,24.6
0,0,0
0,0,0
14:16:25,0.495,24.7
0,0,0
0,0,0
14:16:27,0.496,24.7
0,0,0
0,0,0
14:16:29,0.498,24.7
0,0,0
0,0,0
14:16:31,0.499,24.7
0,0,0
0,0,0
14:16:33,0.499,24.7
0,0,0
0,0,0
14:16:35,0.501,24.7
0,0,0
0,0,0
14:16:37,0.502,24.7
0,0,0
0,0,0
14:16:39,0.504,24.7
0,0,0
0,0,0
14:16:41,0.505,24.7
0,0,0
0,0,0
14:16:43,0.507,24.7
0,0,0
0,0,0
14:16:45,0.508,24.7
0,0,0
0,0,0
14:16:47,0.51,24.7
0,0,0
0,0,0
14:16:49,0.511,24.8
0,0,0
0,0,0
14:16:51,0.511,24.8
0,0,0
0,0,0
14:16:53,0.512,24.8
0,0,0
0,0,0
14:16:55,0.513,24.8
0,0,0
0,0,0
14:16:57,0.515,24.8
0,0,0
0,0,0
14:16:59,0.516,24.8
0,0,0
0,0,0
14:17:01,0.518,24.8
0,0,0
0,0,0
14:17:03,0.519,24.8
0,0,0
0,0,0
14:17:05,0.521,24.8
0,0,0
0,0,0
14:17:07,0.522,24.8
0,0,0
0,0,0
14:17:09,0.523,24.8
0,0,0
0,0,0
14:17:11,0.525,24.8
0,0,0
0,0,0
14:17:13,0.525,24.9
0,0,0
0,0,0
14:17:15,0.526,24.9
0,0,0
0,0,0
14:17:17,0.527,24.9
0,0,0
0,0,0
14:17:19,0.528,24.9
0,0,0
0,0,0
14:17:21,0.529,24.9
0,0,0
0,0,0
14:17:23,0.531,24.9
0,0,0
0,0,0
14:17:25,0.532,24.9
0,0,0
0,0,0
14:17:27,0.533,24.9
0,0,0
0,0,0
14:17:29,0.535,24.9
0,0,0
0,0,0
14:17:31,0.535,24.9
0,0,0
0,0,0
14:17:33,0.536,25
0,0,0
0,0,0
14:17:35,0.537,25
0,0,0
0,0,0
14:17:37,0.538,25
0,0,0
0,0,0
14:17:39,0.539,25
0,0,0
0,0,0
14:17:41,0.54,25
0,0,0
0,0,0
14:17:43,0.542,25
0,0,0
0,0,0
14:17:45,0.543,25
0,0,0
0,0,0
14:17:47,0.544,25
0,0,0
0,0,0
14:17:49,0.544,25
0,0,0
0,0,0
14:17:51,0.546,25
0,0,0
0,0,0
14:17:53,0.547,25
0,0,0
0,0,0
14:17:55,0.549,25
0,0,0
0,0,0
14:17:57,0.55,25
0,0,0
0,0,0
14:17:59,0.551,25.1
0,0,0
0,0,0
14:18:01,0.553,25.1
0,0,0
0,0,0
14:18:03,0.554,25.1
0,0,0
0,0,0
14:18:05,0.556,25.1
0,0,0
0,0,0
14:18:07,0.558,25.1
0,0,0
0,0,0
14:18:09,0.559,25.1
0,0,0
0,0,0
14:18:11,0.559,25.1
0,0,0
0,0,0
14:18:13,0.56,25.1
0,0,0
0,0,0
14:18:15,0.561,25.1
0,0,0
0,0,0
14:18:17,0.563,25.1
0,0,0
0,0,0
14:18:19,0.564,25.1
0,0,0
0,0,0
14:18:21,0.565,25.1
0,0,0
0,0,0
14:18:23,0.566,25.2
0,0,0
0,0,0
14:18:25,0.567,25.2
0,0,0
0,0,0
14:18:27,0.568,25.2
0,0,0
0,0,0
14:18:29,0.568,25.2
0,0,0
0,0,0
14:18:31,0.569,25.2
0,0,0
0,0,0
14:18:33,0.57,25.2
0,0,0
0,0,0
14:18:35,0.571,25.2
0,0,0
0,0,0
14:18:37,0.573,25.2
0,0,0
0,0,0
14:18:39,0.574,25.2
0,0,0
0,0,0
14:18:41,0.575,25.2
0,0,0
0,0,0
14:18:43,0.576,25.2
0,0,0
0,0,0
14:18:45,0.577,25.2
0,0,0
0,0,0
14:18:47,0.577,25.2
0,0,0
0,0,0
14:18:49,0.578,25.2
0,0,0
0,0,0
14:18:51,0.579,25.2
0,0,0
0,0,0
14:18:53,0.581,25.3
0,0,0
0,0,0
14:18:55,0.582,25.3
0,0,0
0,0,0
14:18:57,0.583,25.3
0,0,0
0,0,0
14:18:59,0.584,25.3
0,0,0
0,0,0
14:19:01,0.584,25.3
0,0,0
0,0,0
14:19:03,0.586,25.3
0,0,0
0,0,0
14:19:05,0.587,25.3
0,0,0
0,0,0
14:19:07,0.588,25.3
0,0,0
0,0,0
14:19:09,0.589,25.3
0,0,0
0,0,0
14:19:11,0.589,25.3
0,0,0
0,0,0
14:19:13,0.59,25.3
0,0,0
0,0,0
14:19:15,0.591,25.3
0,0,0
0,0,0
14:19:17,0.592,25.3
0,0,0
0,0,0
14:19:19,0.593,25.3
0,0,0
0,0,0
14:19:21,0.594,25.4
0,0,0
0,0,0
14:19:23,0.595,25.4
0,0,0
0,0,0
14:19:25,0.596,25.4
0,0,0
0,0,0
14:19:27,0.596,25.4
0,0,0
0,0,0
14:19:29,0.597,25.4
0,0,0
0,0,0
14:19:31,0.598,25.4
0,0,0
0,0,0
14:19:33,0.599,25.4
0,0,0
0,0,0
14:19:35,0.6,25.4
0,0,0
0,0,0
14:19:37,0.601,25.4
0,0,0
0,0,0
14:19:39,0.602,25.4
0,0,0
0,0,0
14:19:41,0.603,25.4
0,0,0
0,0,0
14:19:43,0.604,25.4
0,0,0
0,0,0
14:19:45,0.604,25.4
0,0,0
0,0,0
14:19:47,0.605,25.4
0,0,0
0,0,0
14:19:49,0.606,25.4
0,0,0
0,0,0
14:19:51,0.607,25.4
0,0,0
0,0,0
14:19:53,0.608,25.4
0,0,0
0,0,0
14:19:55,0.61,25.4
0,0,0
0,0,0
14:19:57,0.611,25.5
0,0,0
0,0,0
14:19:59,0.611,25.5
0,0,0
0,0,0
14:20:01,0.612,25.5
0,0,0
0,0,0
14:20:03,0.612,25.5
0,0,0
0,0,0
14:20:05,0.613,25.5
0,0,0
0,0,0
