Time,Conductivity,"Temperature, C"
12:20:18,15,22.4
0,0,0
0,0,0
12:20:20,15,22.4
0,0,0
0,0,0
12:20:22,14.9,22.4
0,0,0
0,0,0
12:20:24,14.9,22.4
0,0,0
0,0,0
12:20:26,14.9,22.4
0,0,0
0,0,0
12:20:28,14.9,22.4
0,0,0
0,0,0
12:20:30,15,22.4
0,0,0
0,0,0
12:20:32,15,22.4
0,0,0
0,0,0
12:20:34,15,22.4
0,0,0
0,0,0
12:20:36,15,22.4
0,0,0
0,0,0
12:20:38,15,22.4
0,0,0
0,0,0
12:20:40,15,22.4
0,0,0
0,0,0
12:20:42,15,22.4
0,0,0
0,0,0
12:20:44,15,22.4
0,0,0
0,0,0
12:20:46,15,22.4
0,0,0
0,0,0
12:20:48,15,22.4
0,0,0
0,0,0
12:20:50,15,22.4
0,0,0
0,0,0
12:20:52,15,22.4
0,0,0
0,0,0
12:20:54,15,22.4
0,0,0
0,0,0
12:20:56,15,22.4
0,0,0
0,0,0
12:20:58,15,22.4
0,0,0
0,0,0
12:21:00,15,22.4
0,0,0
0,0,0
12:21:02,15,22.4
0,0,0
0,0,0
12:21:04,15,22.4
0,0,0
0,0,0
12:21:06,15,22.4
0,0,0
0,0,0
12:21:08,15,22.4
0,0,0
0,0,0
12:21:10,15,22.4
0,0,0
0,0,0
12:21:12,15,22.4
0,0,0
0,0,0
12:21:14,15,22.4
0,0,0
0,0,0
12:21:16,15,22.4
0,0,0
0,0,0
12:21:18,15,22.4
0,0,0
0,0,0
12:21:20,15,22.4
0,0,0
0,0,0
12:21:22,15,22.4
0,0,0
0,0,0
12:21:24,15,22.4
0,0,0
0,0,0
12:21:26,15,22.4
0,0,0
0,0,0
12:21:28,15,22.4
0,0,0
0,0,0
12:21:30,15,22.4
0,0,0
0,0,0
12:21:32,15,22.4
0,0,0
0,0,0
12:21:34,15,22.4
0,0,0
0,0,0
12:21:36,15,22.4
0,0,0
0,0,0
12:21:38,15,22.4
0,0,0
0,0,0
12:21:40,15,22.4
0,0,0
0,0,0
12:21:42,15,22.4
0,0,0
0,0,0
12:21:44,15,22.4
0,0,0
0,0,0
12:21:46,15,22.4
0,0,0
0,0,0
12:21:48,15,22.4
0,0,0
0,0,0
12:21:50,15,22.4
0,0,0
0,0,0
12:21:52,15,22.4
0,0,0
0,0,0
12:21:54,15,22.4
0,0,0
0,0,0
12:21:56,15,22.4
0,0,0
0,0,0
12:21:58,15,22.4
0,0,0
0,0,0
12:22:00,15,22.4
0,0,0
0,0,0
12:22:02,15,22.4
0,0,0
