Time,Conductivity_in (mS),Conductivity_in @25*C (microS),Temperature_in,Conductivity_out (mS),Conductivity_out @25*C (microS),Temperature_out
10:52:40,25.38,26.12,23.5,0.84,0.86,23.5
10:52:41,23.9,24.72,23.25,0.84,0.86,23.5
10:52:42,23.16,24.07,23,0.84,0.87,23.25
10:52:43,23.16,24.19,22.75,0.45,0.47,23.25
10:52:43,23.16,24.07,23,0.84,0.87,23
10:52:44,21.68,22.54,23,0.45,0.47,23.25
10:52:45,23.9,24.72,23.25,0.84,0.87,23.25
10:52:46,23.9,24.84,23,1.28,1.33,23
10:52:47,22.42,23.19,23.25,0.84,0.87,23
10:52:48,22.42,23.19,23.25,0.84,0.88,22.75
10:52:49,23.16,23.84,23.5,0.45,0.47,23.25
10:52:50,22.42,23.08,23.5,0.45,0.47,23.25
10:52:51,22.42,23.54,22.5,0.45,0.47,22.75
10:52:52,23.16,24.07,23,0.45,0.46,23.5
10:52:53,21.68,22.43,23.25,0.45,0.46,23.5
10:52:54,21.03,21.86,23,0.84,0.87,23
10:52:55,21.68,22.65,22.75,0.45,0.47,23.25
10:52:56,21.68,22.54,23,0.45,0.47,23
10:52:57,21.03,21.86,23,1.28,1.32,23.5
10:52:58,21.03,21.75,23.25,0.45,0.47,23.25
10:52:59,21.03,21.65,23.5,0.45,0.47,23
10:53:00,21.68,22.65,22.75,0.45,0.47,23.25
10:53:01,21.03,21.65,23.5,0.84,0.87,23.25
10:53:02,21.03,21.75,23.25,0.84,0.86,23.5
10:53:03,20.29,21.41,22.25,0.45,0.47,23.25
10:53:04,21.03,21.75,23.25,0.84,0.87,23.25
10:53:05,19.55,20.32,23,0.84,0.87,23.25
10:53:06,20.29,21.09,23,0.84,0.86,23.5
10:53:07,21.03,22.08,22.5,0.45,0.46,23.5
10:53:08,21.03,21.75,23.25,0.84,0.87,23.25
10:53:09,19.55,20.42,22.75,0.84,0.87,23.25
10:53:10,19.55,20.42,22.75,0.45,0.47,23.25
10:53:11,20.29,20.99,23.25,0.84,0.86,23.5
10:53:12,20.29,21.09,23,0.45,0.47,23
10:53:13,20.28,20.98,23.25,1.73,1.77,23.75
10:53:14,18.07,18.6,23.5,1.28,1.32,23.25
10:53:15,18.8,19.54,23,0.84,0.87,23.25
10:53:16,20.28,21.08,23,1.28,1.32,23.25
10:53:17,18.8,19.45,23.25,0.84,0.87,23.25
10:53:18,18.81,19.46,23.25,0.84,0.87,23.25
10:53:19,20.28,20.87,23.5,1.28,1.32,23.5
10:53:20,18.07,18.78,23,0.45,0.46,23.75
10:53:21,19.54,20.31,23,0.45,0.47,23
10:53:22,18.8,19.54,23,0.45,0.47,23.25
10:53:23,17.42,18.02,23.25,0.84,0.87,23.25
10:53:24,18.8,19.35,23.5,0.45,0.46,23.5
10:53:25,20.28,20.98,23.25,0.45,0.46,23.5
10:53:25,18.06,18.87,22.75,0.45,0.46,23.5
10:53:26,19.54,20.31,23,0.45,0.47,23
10:53:27,19.54,20.31,23,0.45,0.47,23.25
10:53:28,18.8,19.54,23,0.45,0.47,22.75
10:53:29,18.06,18.68,23.25,0.84,0.86,23.5
10:53:30,18.8,19.64,22.75,0.84,0.88,22.5
10:53:31,18.06,18.68,23.25,0.84,0.88,22.75
10:53:32,17.42,17.93,23.5,0.84,0.87,23.25
10:53:34,16.67,17.24,23.25,0.84,0.88,22.75
10:53:34,18.06,18.87,22.75,1.28,1.33,23
10:53:35,18.8,19.54,23,0.84,0.86,23.5
10:53:36,18.06,18.77,23,1.28,1.32,23.5
10:53:37,17.41,18.01,23.25,1.28,1.32,23.5
10:53:38,16.67,17.33,23,0.84,0.87,23.25
10:53:39,18.06,18.77,23,1.28,1.32,23.5
10:53:40,18.06,18.68,23.25,0.84,0.87,23.25
10:53:41,17.41,18.1,23,0.84,0.87,23.25
10:53:42,16.67,17.41,22.75,0.45,0.47,23
10:53:43,16.67,17.24,23.25,0.84,0.87,23.25
10:53:44,17.41,18.01,23.25,0,0,23
10:53:45,17.41,18.01,23.25,0.84,0.86,23.5
10:53:46,17.41,18.1,23,0.45,0.46,23.5
