Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1,Temperature_2
10:54:48,0.01,0.01,20.50,20.50
10:54:54,0.01,0.01,20.25,20.00
10:55:00,0.01,0.01,20.50,20.00
10:55:06,0.01,0.01,20.75,20.25
10:55:12,0.01,0.01,20.25,20.00
10:55:18,0.01,0.01,20.50,19.75
10:55:24,0.01,0.01,20.50,20.00
10:55:30,0.01,0.01,20.25,20.25
10:55:36,0.01,0.01,20.75,20.25
10:55:42,0.01,0.01,20.25,19.75
10:55:48,0.01,0.01,20.00,19.75
10:55:54,0.01,0.01,20.50,19.50
10:56:00,0.01,0.01,20.25,20.00
10:56:06,0.01,0.01,20.75,20.00
10:56:12,0.01,0.01,20.50,19.75
10:56:18,0.01,0.01,20.25,20.00
10:56:24,0.01,0.01,19.50,20.00
10:56:30,0.01,0.01,20.50,20.00
10:56:36,0.01,0.01,20.25,20.00
10:56:42,0.01,0.01,20.00,20.25
10:56:48,0.01,0.01,20.50,20.00
10:56:54,0.01,0.01,20.75,19.75
10:57:00,0.01,0.01,20.50,20.00
10:57:06,0.01,0.01,20.50,20.00
10:57:12,0.01,0.01,20.50,20.00
10:57:18,0.01,0.01,20.75,20.00
10:57:24,0.01,0.01,20.75,20.00
10:57:30,0.01,0.01,20.25,19.75
10:57:36,0.01,0.01,20.50,20.25
10:57:42,0.01,0.01,20.25,19.75
10:57:48,0.02,0.02,20.50,20.00
10:57:54,0.03,0.04,20.25,19.75
10:58:00,0.05,0.05,20.50,20.50
10:58:06,0.07,0.07,20.50,19.75
10:58:12,0.09,0.10,20.00,20.25
10:58:18,0.12,0.13,20.50,20.00
10:58:24,0.15,0.16,20.25,19.75
10:58:30,0.18,0.20,20.50,20.00
10:58:36,0.21,0.23,20.50,20.25
10:58:42,0.25,0.27,20.50,19.75
10:58:48,0.29,0.32,20.25,20.25
10:58:54,0.33,0.36,20.50,20.25
10:59:00,0.37,0.40,20.00,20.25
10:59:06,0.40,0.44,20.50,20.00
10:59:12,0.43,0.48,20.50,20.00
10:59:18,0.46,0.51,19.75,19.75
10:59:24,0.50,0.54,20.75,20.00
10:59:30,0.52,0.56,20.50,20.25
10:59:36,0.54,0.60,20.25,19.75
10:59:42,0.56,0.62,20.00,19.75
10:59:48,0.58,0.63,20.75,20.00
10:59:54,0.59,0.65,20.50,20.25
11:00:00,0.61,0.67,20.50,19.75
11:00:06,0.63,0.69,20.25,20.00
11:00:12,0.64,0.69,20.75,20.25
11:00:18,0.64,0.71,20.25,20.00
11:00:24,0.65,0.70,21.00,20.00
11:00:30,0.66,0.72,20.50,20.00
11:00:36,0.66,0.72,20.75,20.00
11:00:42,0.67,0.74,20.00,19.75
11:00:48,0.67,0.74,20.25,20.00
11:00:54,0.68,0.75,20.50,19.75
11:01:00,0.68,0.74,20.50,20.25
11:01:06,0.68,0.74,20.75,20.25
11:01:12,0.68,0.75,20.50,20.50
11:01:18,0.69,0.75,20.50,19.75
11:01:24,0.69,0.75,20.50,20.00
11:01:30,0.70,0.76,20.75,20.50
11:01:36,0.69,0.76,20.50,20.25
11:01:42,0.70,0.76,20.75,20.25
11:01:48,0.70,0.76,20.75,20.50
11:01:54,0.70,0.77,20.75,20.25
11:02:00,0.69,0.77,19.75,20.00
11:02:06,0.70,0.77,20.50,20.25
11:02:12,0.70,0.77,20.75,20.00
11:02:18,0.71,0.78,20.00,20.00
11:02:24,0.70,0.77,20.25,20.25
11:02:30,0.70,0.77,20.50,19.75
11:02:36,0.70,0.77,20.50,20.50
11:02:42,0.70,0.77,20.50,20.00
11:02:48,0.70,0.77,20.25,20.25
11:02:54,0.70,0.77,20.50,20.25
11:03:00,0.70,0.77,20.50,20.50
11:03:06,0.70,0.78,20.00,20.00
11:03:12,0.70,0.77,20.50,20.25
11:03:18,0.70,0.77,20.50,19.75
11:03:24,0.70,0.77,20.50,19.75
11:03:30,0.71,0.78,20.25,20.50
11:03:36,0.70,0.77,20.50,20.00
11:03:42,0.70,0.77,20.50,20.00
11:03:48,0.71,0.78,20.50,20.00
11:03:54,0.70,0.77,20.50,20.25
11:04:00,0.71,0.77,20.50,20.25
11:04:06,0.70,0.77,20.00,20.00
11:04:12,0.71,0.78,20.25,20.25
11:04:18,0.70,0.77,20.25,20.00
11:04:24,0.71,0.78,20.25,20.25
11:04:30,0.70,0.77,20.00,20.00
11:04:36,0.69,0.76,20.25,20.25
11:04:42,0.70,0.76,20.50,20.00
11:04:48,0.70,0.77,20.25,20.00
11:04:54,0.70,0.77,20.50,20.00
11:05:00,0.70,0.77,20.25,20.00
11:05:06,0.70,0.78,20.00,20.00
11:05:12,0.71,0.78,20.00,20.25
11:05:18,0.70,0.77,20.50,20.25
11:05:24,0.71,0.78,20.25,20.25
11:05:30,0.70,0.77,20.50,20.00
11:05:36,0.70,0.78,20.00,19.75
11:05:42,0.70,0.77,20.25,20.00
11:05:48,0.70,0.77,20.50,20.00
11:05:54,0.71,0.78,20.00,20.00
11:06:00,0.70,0.77,20.50,19.75
11:06:06,0.71,0.78,20.25,20.00
11:06:13,0.70,0.77,20.75,20.00
11:06:19,0.70,0.77,20.50,19.50
11:06:25,0.71,0.78,20.25,19.75
11:06:30,0.71,0.77,20.50,20.00
11:06:36,0.71,0.78,20.50,19.75
11:06:42,0.71,0.78,20.50,20.50
11:06:48,0.70,0.77,20.25,20.00
11:06:54,0.70,0.77,20.25,19.75
11:07:00,0.71,0.79,20.00,20.00
11:07:06,0.69,0.76,20.25,19.75
11:07:12,0.71,0.77,20.50,19.75
11:07:18,0.71,0.77,20.50,20.00
11:07:24,0.70,0.77,20.00,20.00
11:07:30,0.71,0.78,20.25,20.00
11:07:37,0.71,0.78,20.00,20.00
11:07:42,0.72,0.79,20.25,20.00
11:07:48,0.70,0.77,20.25,19.75
11:07:54,0.70,0.77,20.00,20.00
11:08:00,0.71,0.78,20.50,20.25
11:08:06,0.70,0.78,19.75,19.50
11:08:12,0.71,0.78,20.50,20.00
11:08:18,0.71,0.78,20.25,19.75
11:08:25,0.70,0.77,20.50,20.00
11:08:30,0.71,0.78,20.50,20.00
11:08:37,0.71,0.79,19.75,20.00
11:08:43,0.72,0.78,20.50,19.50
11:08:49,0.71,0.77,20.50,20.00
11:08:54,0.71,0.77,20.50,20.00
11:09:01,0.70,0.77,20.25,20.00
11:09:07,0.70,0.78,19.75,20.00
11:09:13,0.71,0.77,20.75,20.00
11:09:19,0.71,0.78,20.00,20.00
11:09:25,0.71,0.79,19.75,19.50
11:09:31,0.71,0.78,20.25,20.00
11:09:37,0.71,0.78,20.00,19.75
11:09:43,0.71,0.78,20.25,20.25
11:09:49,0.70,0.77,20.75,20.00
