Time,Conductivity (mS),Temperature (C)
11:02:40,0.889,20.7
0,0,0
0,0,0
11:02:42,0.89,20.7
0,0,0
0,0,0
11:02:44,0.892,20.7
0,0,0
0,0,0
11:02:46,0.894,20.6
0,0,0
0,0,0
11:02:48,0.896,20.7
0,0,0
0,0,0
11:02:50,0.896,20.7
0,0,0
0,0,0
11:02:52,0.897,20.7
0,0,0
0,0,0
11:02:54,0.897,20.7
0,0,0
0,0,0
11:02:56,0.897,20.7
0,0,0
0,0,0
11:02:58,0.897,20.7
0,0,0
0,0,0
11:03:00,0.897,20.6
0,0,0
0,0,0
11:03:02,0.897,20.6
0,0,0
0,0,0
11:03:04,0.897,20.7
0,0,0
0,0,0
11:03:06,0.897,20.6
0,0,0
0,0,0
11:03:08,0.898,20.6
0,0,0
0,0,0
11:03:10,0.898,20.6
0,0,0
0,0,0
11:03:12,0.898,20.7
0,0,0
0,0,0
11:03:14,0.898,20.6
0,0,0
0,0,0
11:03:16,0.898,20.6
0,0,0
0,0,0
11:03:18,0.898,20.6
0,0,0
0,0,0
11:03:20,0.898,20.6
0,0,0
0,0,0
11:03:22,0.898,20.6
0,0,0
0,0,0
11:03:24,0.898,20.7
0,0,0
0,0,0
11:03:26,0.898,20.6
0,0,0
0,0,0
11:03:28,0.898,20.6
0,0,0
0,0,0
11:03:30,0.898,20.6
0,0,0
0,0,0
11:03:32,0.898,20.6
0,0,0
0,0,0
11:03:34,0.899,20.6
0,0,0
0,0,0
11:03:36,0.899,20.6
0,0,0
0,0,0
11:03:38,0.898,20.6
0,0,0
0,0,0
11:03:40,0.898,20.6
0,0,0
0,0,0
11:03:42,0.898,20.7
0,0,0
0,0,0
11:03:44,0.898,20.6
0,0,0
0,0,0
11:03:46,0.898,20.6
0,0,0
0,0,0
11:03:48,0.898,20.6
0,0,0
0,0,0
11:03:50,0.898,20.6
0,0,0
0,0,0
11:03:52,0.899,20.6
0,0,0
0,0,0
11:03:54,0.899,20.6
0,0,0
0,0,0
11:03:56,0.898,20.7
0,0,0
0,0,0
11:03:58,0.898,20.6
0,0,0
0,0,0
11:04:00,0.898,20.6
0,0,0
0,0,0
11:04:02,0.898,20.7
0,0,0
0,0,0
11:04:04,0.898,20.6
0,0,0
0,0,0
11:04:06,0.898,20.7
0,0,0
0,0,0
11:04:08,0.898,20.6
0,0,0
0,0,0
11:04:10,0.898,20.6
0,0,0
0,0,0
11:04:12,0.898,20.6
0,0,0
0,0,0
11:04:14,0.898,20.6
0,0,0
0,0,0
11:04:16,0.898,20.6
0,0,0
0,0,0
11:04:18,0.899,20.6
0,0,0
0,0,0
11:04:20,0.899,20.7
0,0,0
0,0,0
11:04:22,0.898,20.6
0,0,0
0,0,0
11:04:24,0.898,20.7
0,0,0
0,0,0
11:04:26,0.898,20.7
0,0,0
0,0,0
11:04:28,0.897,20.7
0,0,0
0,0,0
11:04:30,0.897,20.6
0,0,0
0,0,0
11:04:32,0.897,20.6
0,0,0
0,0,0
11:04:34,0.897,20.6
0,0,0
0,0,0
11:04:36,0.898,20.6
0,0,0
0,0,0
11:04:38,0.898,20.6
0,0,0
0,0,0
11:04:40,0.899,20.7
0,0,0
0,0,0
11:04:42,0.898,20.6
0,0,0
0,0,0
11:04:44,0.898,20.6
0,0,0
0,0,0
11:04:46,0.899,20.7
0,0,0
0,0,0
11:04:48,0.898,20.7
0,0,0
0,0,0
11:04:50,0.898,20.6
0,0,0
0,0,0
11:04:52,0.898,20.6
0,0,0
0,0,0
11:04:54,0.898,20.7
0,0,0
0,0,0
11:04:56,0.898,20.6
0,0,0
0,0,0
11:04:58,0.898,20.6
0,0,0
0,0,0
11:05:00,0.898,20.7
0,0,0
0,0,0
11:05:02,0.898,20.7
0,0,0
0,0,0
11:05:04,0.898,20.7
0,0,0
0,0,0
11:05:06,0.897,20.7
0,0,0
0,0,0
11:05:08,0.897,20.7
0,0,0
0,0,0
11:05:10,0.897,20.6
0,0,0
0,0,0
11:05:12,0.897,20.6
0,0,0
0,0,0
11:05:14,0.897,20.6
0,0,0
0,0,0
11:05:16,0.898,20.6
0,0,0
0,0,0
11:05:18,0.898,20.6
0,0,0
0,0,0
11:05:20,0.899,20.6
0,0,0
0,0,0
11:05:22,0.899,20.6
0,0,0
0,0,0
11:05:24,0.899,20.6
0,0,0
0,0,0
11:05:26,0.899,20.6
0,0,0
0,0,0
11:05:28,0.899,20.7
0,0,0
0,0,0
11:05:30,0.899,20.7
0,0,0
0,0,0
11:05:32,0.899,20.6
0,0,0
0,0,0
11:05:34,0.899,20.6
0,0,0
0,0,0
11:05:36,0.898,20.6
0,0,0
0,0,0
11:05:38,0.898,20.7
0,0,0
0,0,0
11:05:40,0.898,20.7
0,0,0
0,0,0
11:05:42,0.898,20.7
0,0,0
0,0,0
11:05:44,0.898,20.6
0,0,0
0,0,0
11:05:46,0.898,20.6
0,0,0
0,0,0
11:05:48,0.898,20.6
0,0,0
0,0,0
