Time,Temperature_1,Temperature_2
14:42:14,100.25,100
14:42:20,100,100
14:42:26,100,100
14:42:32,99.75,100
14:42:38,99.5,100.25
14:42:44,99.75,99.75
14:42:50,99.5,100.25
14:42:56,99.75,100
14:43:02,100,99.75
14:43:08,100,99.75
14:43:14,100,100
14:43:20,99.25,99.75
14:43:26,100.25,100.5
14:43:32,100.25,100
14:43:38,100.25,100.5
14:43:44,99.75,100
14:43:50,100.25,100.5
14:43:56,100.25,100.5
14:44:02,100.25,100.5
14:44:08,100.5,100.25
14:44:14,100.25,99.75
14:44:20,100.25,100.25
14:44:26,100.5,100.25
14:44:32,100.25,100
14:44:38,100.25,99.75
14:44:44,99.75,100
14:44:50,100,100
14:44:56,99.75,100.25
14:45:02,100,99.75
,100.02,100.08
15:30:01,0,0
15:30:07,0.5,-0.25
15:30:13,0.5,0
15:30:19,0,0
15:30:25,0,0
15:30:31,0.75,0
15:30:37,0.5,0
15:30:43,-0.25,0
15:30:49,0,0
15:30:55,0,0
15:31:01,0.25,0.25
15:31:07,0.5,-0.25
15:31:13,0.5,0
15:31:19,0,0
15:31:25,-0.25,0.25
15:31:31,-0.25,-0.25
15:31:37,0.5,0
15:31:43,0.25,0
15:31:49,-0.25,-0.25
15:31:55,0,0
15:32:01,0.5,0
15:32:07,0.25,0
15:32:13,0.25,-0.5
15:32:19,0.25,0
15:32:25,0.5,0
15:32:31,0,0
15:32:37,0,-0.25
15:32:43,0.5,-0.25
15:32:49,0.25,-0.25
15:32:55,0.5,0
15:33:01,0.25,0
15:33:07,0.25,0
15:33:13,0.25,0
15:33:19,0.5,-0.25
15:33:25,0.5,-0.25
15:33:31,0.25,0
15:33:37,0,0
,0.22,-0.07
